[FH] AMCR: wrote 4 files, skipped 361
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 1 files, skipped 364
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 1 files, skipped 364
[FH] AMCR: wrote 2 files, skipped 363
[FH] AMCR: wrote 2 files, skipped 363
[FH] AMCR: wrote 1 files, skipped 364
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 0 files, skipped 365
[FH] AMCR: wrote 2 files, skipped 363
