[FH] APD: wrote 4 files, skipped 361
[FH] APD: wrote 0 files, skipped 365
[FH] APD: wrote 0 files, skipped 365
[FH] APD: wrote 0 files, skipped 365
[FH] APD: wrote 0 files, skipped 365
[FH] APD: wrote 0 files, skipped 365
[FH] APD: wrote 0 files, skipped 365
[FH] APD: wrote 0 files, skipped 365
[FH] APD: wrote 0 files, skipped 365
[FH] APD: wrote 0 files, skipped 365
[FH] APD: wrote 1 files, skipped 364
[FH] APD: wrote 0 files, skipped 365
[FH] APD: wrote 0 files, skipped 365
[FH] APD: wrote 1 files, skipped 364
[FH] APD: wrote 2 files, skipped 363
[FH] APD: wrote 2 files, skipped 363
