[FH] APH: wrote 4 files, skipped 361
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 1 files, skipped 364
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 1 files, skipped 364
[FH] APH: wrote 2 files, skipped 363
[FH] APH: wrote 2 files, skipped 363
[FH] APH: wrote 1 files, skipped 364
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 0 files, skipped 365
[FH] APH: wrote 2 files, skipped 363
[FH] APH: wrote 2 files, skipped 363
