[FH] APTV: wrote 3 files, skipped 362
[FH] APTV: wrote 0 files, skipped 365
[FH] APTV: wrote 0 files, skipped 365
[FH] APTV: wrote 0 files, skipped 365
[FH] APTV: wrote 0 files, skipped 365
[FH] APTV: wrote 0 files, skipped 365
[FH] APTV: wrote 0 files, skipped 365
[FH] APTV: wrote 0 files, skipped 365
[FH] APTV: wrote 0 files, skipped 365
[FH] APTV: wrote 0 files, skipped 365
[FH] APTV: wrote 1 files, skipped 364
[FH] APTV: wrote 0 files, skipped 365
[FH] APTV: wrote 0 files, skipped 365
[FH] APTV: wrote 1 files, skipped 364
[FH] APTV: wrote 2 files, skipped 363
[FH] APTV: wrote 2 files, skipped 363
[FH] APTV: wrote 1 files, skipped 364
