[FH] AVY: wrote 3 files, skipped 362
[FH] AVY: wrote 0 files, skipped 365
[FH] AVY: wrote 0 files, skipped 365
[FH] AVY: wrote 0 files, skipped 365
[FH] AVY: wrote 0 files, skipped 365
[FH] AVY: wrote 0 files, skipped 365
[FH] AVY: wrote 0 files, skipped 365
[FH] AVY: wrote 0 files, skipped 365
[FH] AVY: wrote 0 files, skipped 365
[FH] AVY: wrote 0 files, skipped 365
[FH] AVY: wrote 1 files, skipped 364
[FH] AVY: wrote 0 files, skipped 365
[FH] AVY: wrote 0 files, skipped 365
[FH] AVY: wrote 1 files, skipped 364
[FH] AVY: wrote 2 files, skipped 363
[FH] AVY: wrote 2 files, skipped 363
