[FH] BKNG: wrote 3 files, skipped 362
[FH] BKNG: wrote 0 files, skipped 365
[FH] BKNG: wrote 0 files, skipped 365
[FH] BKNG: wrote 0 files, skipped 365
[FH] BKNG: wrote 0 files, skipped 365
[FH] BKNG: wrote 0 files, skipped 365
[FH] BKNG: wrote 0 files, skipped 365
[FH] BKNG: wrote 0 files, skipped 365
[FH] BKNG: wrote 0 files, skipped 365
[FH] BKNG: wrote 0 files, skipped 365
[FH] BKNG: wrote 1 files, skipped 364
[FH] BKNG: wrote 0 files, skipped 365
[FH] BKNG: wrote 0 files, skipped 365
[FH] BKNG: wrote 1 files, skipped 364
[FH] BKNG: wrote 2 files, skipped 363
[FH] BKNG: wrote 2 files, skipped 363
[FH] BKNG: wrote 1 files, skipped 364
[FH] BKNG: wrote 0 files, skipped 365
[FH] BKNG: wrote 0 files, skipped 365
