[FH] CAT: wrote 3 files, skipped 362
[FH] CAT: wrote 0 files, skipped 365
[FH] CAT: wrote 0 files, skipped 365
[FH] CAT: wrote 0 files, skipped 365
[FH] CAT: wrote 0 files, skipped 365
[FH] CAT: wrote 0 files, skipped 365
[FH] CAT: wrote 0 files, skipped 365
[FH] CAT: wrote 0 files, skipped 365
[FH] CAT: wrote 0 files, skipped 365
[FH] CAT: wrote 0 files, skipped 365
[FH] CAT: wrote 1 files, skipped 364
[FH] CAT: wrote 0 files, skipped 365
[FH] CAT: wrote 0 files, skipped 365
[FH] CAT: wrote 1 files, skipped 364
[FH] CAT: wrote 2 files, skipped 363
[FH] CAT: wrote 2 files, skipped 363
[FH] CAT: wrote 1 files, skipped 364
[FH] CAT: wrote 0 files, skipped 365
[FH] CAT: wrote 0 files, skipped 365
[FH] CAT: wrote 0 files, skipped 365
[FH] CAT: wrote 0 files, skipped 365
