[FH] CCI: wrote 3 files, skipped 362
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 1 files, skipped 364
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 1 files, skipped 364
[FH] CCI: wrote 2 files, skipped 363
[FH] CCI: wrote 2 files, skipped 363
[FH] CCI: wrote 1 files, skipped 364
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 0 files, skipped 365
[FH] CCI: wrote 2 files, skipped 363
[FH] CCI: wrote 2 files, skipped 363
[FH] CCI: wrote 2 files, skipped 363
[FH] CCI: wrote 1 files, skipped 364
