[FH] CL: wrote 3 files, skipped 362
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 1 files, skipped 364
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 1 files, skipped 364
[FH] CL: wrote 2 files, skipped 363
[FH] CL: wrote 2 files, skipped 363
[FH] CL: wrote 1 files, skipped 364
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 2 files, skipped 363
[FH] CL: wrote 2 files, skipped 363
[FH] CL: wrote 2 files, skipped 363
[FH] CL: wrote 1 files, skipped 364
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
[FH] CL: wrote 0 files, skipped 365
