[FH] CPT: wrote 3 files, skipped 362
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 1 files, skipped 364
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 1 files, skipped 364
[FH] CPT: wrote 2 files, skipped 363
[FH] CPT: wrote 2 files, skipped 363
[FH] CPT: wrote 1 files, skipped 364
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 2 files, skipped 363
[FH] CPT: wrote 2 files, skipped 363
[FH] CPT: wrote 2 files, skipped 363
[FH] CPT: wrote 1 files, skipped 364
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 0 files, skipped 365
[FH] CPT: wrote 2 files, skipped 363
