[FH] CZR: wrote 3 files, skipped 362
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 1 files, skipped 364
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 1 files, skipped 364
[FH] CZR: wrote 2 files, skipped 363
[FH] CZR: wrote 2 files, skipped 363
[FH] CZR: wrote 1 files, skipped 364
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 2 files, skipped 363
[FH] CZR: wrote 2 files, skipped 363
[FH] CZR: wrote 2 files, skipped 363
[FH] CZR: wrote 1 files, skipped 364
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 0 files, skipped 365
[FH] CZR: wrote 2 files, skipped 363
