[FH] DOW: wrote 3 files, skipped 362
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 1 files, skipped 364
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 1 files, skipped 364
[FH] DOW: wrote 2 files, skipped 363
[FH] DOW: wrote 2 files, skipped 363
[FH] DOW: wrote 1 files, skipped 364
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 0 files, skipped 365
[FH] DOW: wrote 2 files, skipped 363
[FH] DOW: wrote 2 files, skipped 363
[FH] DOW: wrote 2 files, skipped 363
[FH] DOW: wrote 1 files, skipped 364
[FH] DOW: wrote 0 files, skipped 365
