[FH] ENPH: wrote 3 files, skipped 362
[FH] ENPH: wrote 0 files, skipped 365
[FH] ENPH: wrote 0 files, skipped 365
[FH] ENPH: wrote 0 files, skipped 365
[FH] ENPH: wrote 0 files, skipped 365
[FH] ENPH: wrote 0 files, skipped 365
[FH] ENPH: wrote 0 files, skipped 365
[FH] ENPH: wrote 0 files, skipped 365
[FH] ENPH: wrote 0 files, skipped 365
[FH] ENPH: wrote 0 files, skipped 365
[FH] ENPH: wrote 1 files, skipped 364
[FH] ENPH: wrote 0 files, skipped 365
[FH] ENPH: wrote 0 files, skipped 365
[FH] ENPH: wrote 1 files, skipped 364
[FH] ENPH: wrote 2 files, skipped 363
[FH] ENPH: wrote 2 files, skipped 363
[FH] ENPH: wrote 1 files, skipped 364
[FH] ENPH: wrote 0 files, skipped 365
[FH] ENPH: wrote 0 files, skipped 365
[FH] ENPH: wrote 0 files, skipped 365
[FH] ENPH: wrote 0 files, skipped 365
