[FH] FDX: wrote 3 files, skipped 362
[FH] FDX: wrote 0 files, skipped 365
[FH] FDX: wrote 0 files, skipped 365
[FH] FDX: wrote 0 files, skipped 365
[FH] FDX: wrote 0 files, skipped 365
[FH] FDX: wrote 0 files, skipped 365
[FH] FDX: wrote 0 files, skipped 365
[FH] FDX: wrote 0 files, skipped 365
[FH] FDX: wrote 0 files, skipped 365
[FH] FDX: wrote 0 files, skipped 365
[FH] FDX: wrote 1 files, skipped 364
[FH] FDX: wrote 0 files, skipped 365
[FH] FDX: wrote 0 files, skipped 365
[FH] FDX: wrote 1 files, skipped 364
[FH] FDX: wrote 2 files, skipped 363
[FH] FDX: wrote 2 files, skipped 363
[FH] FDX: wrote 1 files, skipped 364
[FH] FDX: wrote 0 files, skipped 365
[FH] FDX: wrote 0 files, skipped 365
[FH] FDX: wrote 0 files, skipped 365
