[FH] FITB: wrote 3 files, skipped 362
[FH] FITB: wrote 0 files, skipped 365
[FH] FITB: wrote 0 files, skipped 365
[FH] FITB: wrote 0 files, skipped 365
[FH] FITB: wrote 0 files, skipped 365
[FH] FITB: wrote 0 files, skipped 365
[FH] FITB: wrote 0 files, skipped 365
[FH] FITB: wrote 0 files, skipped 365
[FH] FITB: wrote 0 files, skipped 365
[FH] FITB: wrote 0 files, skipped 365
[FH] FITB: wrote 1 files, skipped 364
[FH] FITB: wrote 0 files, skipped 365
[FH] FITB: wrote 0 files, skipped 365
[FH] FITB: wrote 1 files, skipped 364
[FH] FITB: wrote 2 files, skipped 363
[FH] FITB: wrote 2 files, skipped 363
[FH] FITB: wrote 1 files, skipped 364
[FH] FITB: wrote 0 files, skipped 365
[FH] FITB: wrote 0 files, skipped 365
