[FH] FOXA: wrote 3 files, skipped 362
[FH] FOXA: wrote 0 files, skipped 365
[FH] FOXA: wrote 0 files, skipped 365
[FH] FOXA: wrote 0 files, skipped 365
[FH] FOXA: wrote 0 files, skipped 365
[FH] FOXA: wrote 0 files, skipped 365
[FH] FOXA: wrote 0 files, skipped 365
[FH] FOXA: wrote 0 files, skipped 365
[FH] FOXA: wrote 0 files, skipped 365
[FH] FOXA: wrote 0 files, skipped 365
[FH] FOXA: wrote 1 files, skipped 364
[FH] FOXA: wrote 0 files, skipped 365
[FH] FOXA: wrote 0 files, skipped 365
[FH] FOXA: wrote 1 files, skipped 364
