[FH] FTNT: wrote 3 files, skipped 362
[FH] FTNT: wrote 0 files, skipped 365
[FH] FTNT: wrote 0 files, skipped 365
[FH] FTNT: wrote 0 files, skipped 365
[FH] FTNT: wrote 0 files, skipped 365
[FH] FTNT: wrote 0 files, skipped 365
[FH] FTNT: wrote 0 files, skipped 365
[FH] FTNT: wrote 0 files, skipped 365
[FH] FTNT: wrote 0 files, skipped 365
[FH] FTNT: wrote 0 files, skipped 365
[FH] FTNT: wrote 1 files, skipped 364
[FH] FTNT: wrote 0 files, skipped 365
[FH] FTNT: wrote 0 files, skipped 365
[FH] FTNT: wrote 1 files, skipped 364
[FH] FTNT: wrote 2 files, skipped 363
