[FH] MRNA: wrote 2 files, skipped 363
[FH] MRNA: wrote 0 files, skipped 365
[FH] MRNA: wrote 0 files, skipped 365
[FH] MRNA: wrote 0 files, skipped 365
[FH] MRNA: wrote 0 files, skipped 365
[FH] MRNA: wrote 0 files, skipped 365
[FH] MRNA: wrote 0 files, skipped 365
[FH] MRNA: wrote 0 files, skipped 365
[FH] MRNA: wrote 0 files, skipped 365
[FH] MRNA: wrote 0 files, skipped 365
[FH] MRNA: wrote 1 files, skipped 364
[FH] MRNA: wrote 0 files, skipped 365
[FH] MRNA: wrote 0 files, skipped 365
[FH] MRNA: wrote 1 files, skipped 364
